subNum	 trialNo	 variability	 targPresent	 response	  accuracy
11	 1	 1.70	 0	 r	 1
11	 2	 1.70	 1	 l	 1
11	 3	 6.00	 0	 r	 1
11	 4	 6.00	 0	 r	 1
11	 5	 6.00	 0	 r	 1
11	 6	 1.70	 0	 r	 1
11	 7	 1.70	 1	 l	 1
11	 8	 1.70	 1	 l	 1
11	 9	 6.00	 1	 l	 1
11	 10	 1.70	 1	 r	 0
11	 11	 1.70	 1	 l	 1
11	 12	 1.70	 0	 r	 1
11	 13	 1.70	 0	 l	 0
11	 14	 1.70	 1	 l	 1
11	 15	 1.70	 1	 l	 1
11	 16	 6.00	 1	 l	 1
11	 17	 1.70	 1	 l	 1
11	 18	 6.00	 1	 l	 1
11	 19	 1.70	 0	 l	 0
11	 20	 1.70	 1	 r	 0
11	 21	 1.70	 1	 l	 1
11	 22	 1.70	 1	 l	 1
11	 23	 6.00	 1	 l	 1
11	 24	 6.00	 1	 l	 1
11	 25	 1.70	 1	 l	 1
11	 26	 6.00	 0	 r	 1
11	 27	 6.00	 0	 r	 1
11	 28	 6.00	 1	 l	 1
11	 29	 6.00	 0	 r	 1
11	 30	 1.70	 0	 l	 0
11	 31	 6.00	 0	 r	 1
11	 32	 1.70	 0	 l	 0
11	 33	 6.00	 0	 r	 1
11	 34	 6.00	 1	 l	 1
11	 35	 6.00	 0	 r	 1
11	 36	 6.00	 1	 l	 1
11	 37	 1.70	 0	 l	 0
11	 38	 6.00	 1	 l	 1
11	 39	 6.00	 1	 l	 1
11	 40	 6.00	 1	 l	 1
11	 41	 6.00	 0	 r	 1
11	 42	 6.00	 0	 r	 1
11	 43	 1.70	 0	 l	 0
11	 44	 6.00	 0	 r	 1
11	 45	 6.00	 0	 r	 1
11	 46	 6.00	 1	 l	 1
11	 47	 6.00	 1	 l	 1
11	 48	 1.70	 0	 l	 0
11	 49	 1.70	 1	 l	 1
11	 50	 1.70	 0	 r	 1
11	 51	 1.70	 0	 l	 0
11	 52	 1.70	 1	 l	 1
11	 53	 6.00	 1	 l	 1
11	 54	 1.70	 1	 r	 0
11	 55	 6.00	 0	 r	 1
11	 56	 1.70	 1	 l	 1
11	 57	 1.70	 0	 r	 1
11	 58	 6.00	 1	 l	 1
11	 59	 6.00	 0	 l	 0
11	 60	 1.70	 0	 l	 0
11	 61	 6.00	 1	 l	 1
11	 62	 1.70	 0	 l	 0
11	 63	 1.70	 0	 r	 1
11	 64	 1.70	 1	 l	 1
11	 65	 6.00	 0	 l	 0
11	 66	 6.00	 0	 r	 1
11	 67	 6.00	 0	 l	 0
11	 68	 1.70	 1	 l	 1
11	 69	 1.70	 0	 r	 1
11	 70	 1.70	 0	 l	 0
11	 71	 1.70	 1	 r	 0
11	 72	 1.70	 1	 l	 1
11	 73	 6.00	 1	 l	 1
11	 74	 1.70	 0	 r	 1
11	 75	 6.00	 0	 r	 1
11	 76	 6.00	 1	 l	 1
11	 77	 6.00	 0	 r	 1
11	 78	 6.00	 1	 l	 1
11	 79	 6.00	 1	 l	 1
11	 80	 1.70	 0	 r	 1
12	 1	 6.00	 1	 l	 1
12	 2	 6.00	 1	 l	 1
12	 3	 6.00	 1	 l	 1
12	 4	 1.70	 1	 r	 0
12	 5	 1.70	 1	 l	 1
12	 6	 1.70	 0	 l	 0
12	 7	 6.00	 0	 r	 1
12	 8	 1.70	 0	 r	 1
12	 9	 6.00	 1	 l	 1
12	 10	 6.00	 0	 r	 1
12	 11	 1.70	 0	 r	 1
12	 12	 6.00	 0	 l	 0
12	 13	 1.70	 0	 r	 1
12	 14	 6.00	 0	 r	 1
12	 15	 6.00	 1	 l	 1
12	 16	 6.00	 0	 r	 1
12	 17	 6.00	 1	 l	 1
12	 18	 1.70	 0	 r	 1
12	 19	 6.00	 0	 r	 1
12	 20	 1.70	 0	 r	 1
12	 21	 1.70	 0	 r	 1
12	 22	 6.00	 1	 l	 1
12	 23	 6.00	 0	 r	 1
12	 24	 6.00	 0	 r	 1
12	 25	 6.00	 0	 r	 1
12	 26	 6.00	 1	 l	 1
12	 27	 6.00	 0	 r	 1
12	 28	 1.70	 0	 r	 1
12	 29	 6.00	 1	 r	 0
12	 30	 6.00	 1	 l	 1
12	 31	 6.00	 0	 r	 1
12	 32	 1.70	 1	 l	 1
12	 33	 6.00	 1	 l	 1
12	 34	 1.70	 0	 r	 1
12	 35	 1.70	 1	 r	 0
12	 36	 6.00	 1	 l	 1
12	 37	 6.00	 1	 l	 1
12	 38	 6.00	 0	 r	 1
12	 39	 1.70	 0	 r	 1
12	 40	 1.70	 0	 r	 1
12	 41	 6.00	 1	 l	 1
12	 42	 1.70	 0	 r	 1
12	 43	 1.70	 1	 r	 0
12	 44	 1.70	 0	 l	 0
12	 45	 1.70	 0	 r	 1
12	 46	 1.70	 1	 l	 1
12	 47	 1.70	 0	 r	 1
12	 48	 1.70	 1	 l	 1
12	 49	 6.00	 1	 l	 1
12	 50	 1.70	 1	 r	 0
12	 51	 1.70	 1	 l	 1
12	 52	 1.70	 1	 r	 0
12	 53	 1.70	 1	 l	 1
12	 54	 1.70	 1	 l	 1
12	 55	 6.00	 0	 r	 1
12	 56	 1.70	 1	 r	 0
12	 57	 6.00	 0	 r	 1
12	 58	 1.70	 0	 l	 0
12	 59	 1.70	 1	 r	 0
12	 60	 1.70	 0	 r	 1
12	 61	 1.70	 1	 l	 1
12	 62	 6.00	 0	 r	 1
12	 63	 6.00	 1	 l	 1
12	 64	 1.70	 1	 l	 1
12	 65	 6.00	 0	 r	 1
12	 66	 1.70	 0	 r	 1
12	 67	 6.00	 0	 r	 1
12	 68	 1.70	 1	 l	 1
12	 69	 1.70	 1	 r	 0
12	 70	 6.00	 0	 r	 1
12	 71	 1.70	 0	 r	 1
12	 72	 6.00	 1	 l	 1
12	 73	 6.00	 1	 l	 1
12	 74	 1.70	 1	 l	 1
12	 75	 1.70	 0	 r	 1
12	 76	 6.00	 0	 r	 1
12	 77	 6.00	 0	 r	 1
12	 78	 6.00	 1	 l	 1
12	 79	 6.00	 1	 l	 1
12	 80	 1.70	 1	 l	 1
13	 1	 6.00	 1	 l	 1
13	 2	 1.70	 1	 r	 0
13	 3	 6.00	 0	 r	 1
13	 4	 1.70	 1	 l	 1
13	 5	 1.70	 0	 r	 1
13	 6	 1.70	 1	 l	 1
13	 7	 6.00	 0	 r	 1
13	 8	 6.00	 0	 r	 1
13	 9	 6.00	 1	 l	 1
13	 10	 1.70	 0	 r	 1
13	 11	 6.00	 1	 l	 1
13	 12	 1.70	 1	 r	 0
13	 13	 1.70	 1	 l	 1
13	 14	 6.00	 0	 r	 1
13	 15	 1.70	 1	 l	 1
13	 16	 6.00	 0	 r	 1
13	 17	 1.70	 0	 l	 0
13	 18	 1.70	 0	 r	 1
13	 19	 6.00	 0	 r	 1
13	 20	 6.00	 1	 r	 0
13	 21	 1.70	 1	 l	 1
13	 22	 1.70	 0	 r	 1
13	 23	 6.00	 1	 l	 1
13	 24	 1.70	 1	 l	 1
13	 25	 6.00	 1	 l	 1
13	 26	 6.00	 1	 l	 1
13	 27	 1.70	 1	 r	 0
13	 28	 6.00	 1	 l	 1
13	 29	 6.00	 1	 l	 1
13	 30	 6.00	 1	 l	 1
13	 31	 1.70	 0	 l	 0
13	 32	 6.00	 1	 l	 1
13	 33	 6.00	 0	 r	 1
13	 34	 6.00	 1	 l	 1
13	 35	 6.00	 0	 r	 1
13	 36	 1.70	 1	 l	 1
13	 37	 6.00	 0	 r	 1
13	 38	 1.70	 1	 r	 0
