"participant_id","age","gender","locale","localeOrder","trialN","set_size","targetPos","targetColor","rt","answer","correct"
1,25,"f","Response box",2,1,2,0,360,510,"2",1
1,25,"f","Response box",2,2,2,1,360,371,"5",1
1,25,"f","Response box",2,3,2,0,360,284,"2",1
1,25,"f","Response box",2,4,2,1,360,217,"5",1
1,25,"f","Response box",2,5,2,1,360,235,"2",0
1,25,"f","Response box",2,6,2,0,360,315,"2",1
1,25,"f","Response box",2,7,2,0,360,307,"2",1
1,25,"f","Response box",2,8,2,1,360,266,"5",1
1,25,"f","Response box",2,9,2,1,360,287,"5",1
1,25,"f","Response box",2,10,2,0,360,310,"2",1
1,25,"f","Response box",2,11,2,0,360,335,"2",1
1,25,"f","Response box",2,12,2,1,360,375,"5",1
1,25,"f","Response box",2,13,2,1,360,288,"5",1
1,25,"f","Response box",2,14,2,0,360,274,"2",1
1,25,"f","Response box",2,15,2,1,360,235,"5",1
1,25,"f","Response box",2,16,2,0,360,251,"2",1
1,25,"f","Response box",2,17,2,1,360,279,"5",1
1,25,"f","Response box",2,18,2,0,360,231,"2",1
1,25,"f","Response box",2,19,2,1,360,199,"5",1
1,25,"f","Response box",2,20,2,0,360,240,"2",1
1,25,"f","Response box",2,21,2,0,360,368,"2",1
1,25,"f","Response box",2,22,2,1,360,243,"5",1
1,25,"f","Response box",2,23,2,1,360,287,"5",1
1,25,"f","Response box",2,24,2,0,360,247,"2",1
1,25,"f","Response box",2,25,2,1,300,309,"5",1
1,25,"f","Response box",2,26,2,0,300,265,"2",1
1,25,"f","Response box",2,27,2,0,300,277,"2",1
1,25,"f","Response box",2,28,2,1,300,252,"5",1
1,25,"f","Response box",2,29,2,0,300,271,"2",1
1,25,"f","Response box",2,30,2,1,300,240,"5",1
1,25,"f","Response box",2,31,2,1,300,286,"5",1
1,25,"f","Response box",2,32,2,0,300,262,"2",1
1,25,"f","Response box",2,33,2,1,300,270,"5",1
1,25,"f","Response box",2,34,2,0,300,262,"2",1
1,25,"f","Response box",2,35,2,1,300,291,"5",1
1,25,"f","Response box",2,36,2,0,300,229,"2",1
1,25,"f","Response box",2,37,2,1,300,228,"5",1
1,25,"f","Response box",2,38,2,0,300,233,"2",1
1,25,"f","Response box",2,39,2,1,300,235,"5",1
1,25,"f","Response box",2,40,2,0,300,227,"2",1
1,25,"f","Response box",2,41,2,1,300,211,"5",1
1,25,"f","Response box",2,42,2,0,300,218,"2",1
1,25,"f","Response box",2,43,2,0,300,410,"2",1
1,25,"f","Response box",2,44,2,1,300,242,"5",1
1,25,"f","Response box",2,45,2,0,300,272,"2",1
1,25,"f","Response box",2,46,2,1,300,250,"5",1
1,25,"f","Response box",2,47,2,1,300,304,"5",1
1,25,"f","Response box",2,48,2,0,300,235,"2",1
1,25,"f","Response box",2,49,2,0,120,298,"2",1
1,25,"f","Response box",2,50,2,1,120,253,"5",1
1,25,"f","Response box",2,51,2,0,120,236,"2",1
1,25,"f","Response box",2,52,2,1,120,231,"5",1
1,25,"f","Response box",2,53,2,0,120,268,"2",1
1,25,"f","Response box",2,54,2,1,120,277,"5",1
1,25,"f","Response box",2,55,2,0,120,234,"2",1
1,25,"f","Response box",2,56,2,1,120,245,"5",1
1,25,"f","Response box",2,57,2,0,120,225,"2",1
1,25,"f","Response box",2,58,2,1,120,244,"5",1
1,25,"f","Response box",2,59,2,1,120,324,"5",1
1,25,"f","Response box",2,60,2,0,120,253,"2",1
1,25,"f","Response box",2,61,2,0,120,299,"2",1
1,25,"f","Response box",2,62,2,1,120,215,"5",1
1,25,"f","Response box",2,63,2,1,120,259,"5",1
1,25,"f","Response box",2,64,2,0,120,199,"2",1
1,25,"f","Response box",2,65,2,0,120,313,"2",1
1,25,"f","Response box",2,66,2,1,120,229,"5",1
1,25,"f","Response box",2,67,2,0,120,272,"2",1
1,25,"f","Response box",2,68,2,1,120,231,"5",1
1,25,"f","Response box",2,69,2,0,120,232,"2",1
1,25,"f","Response box",2,70,2,1,120,457,"2",0
1,25,"f","Response box",2,71,2,1,120,306,"5",1
1,25,"f","Response box",2,72,2,0,120,248,"2",1
1,25,"f","Response box",2,73,2,1,60,276,"5",1
1,25,"f","Response box",2,74,2,0,60,243,"2",1
1,25,"f","Response box",2,75,2,1,60,258,"5",1
1,25,"f","Response box",2,76,2,0,60,263,"2",1
1,25,"f","Response box",2,77,2,1,60,238,"5",1
1,25,"f","Response box",2,78,2,0,60,264,"2",1
1,25,"f","Response box",2,79,2,0,60,301,"2",1
1,25,"f","Response box",2,80,2,1,60,219,"5",1
1,25,"f","Response box",2,81,2,0,60,270,"2",1
1,25,"f","Response box",2,82,2,1,60,237,"5",1
1,25,"f","Response box",2,83,2,0,60,259,"2",1
1,25,"f","Response box",2,84,2,1,60,207,"5",1
1,25,"f","Response box",2,85,2,1,60,194,"2",0
1,25,"f","Response box",2,86,2,0,60,387,"2",1
1,25,"f","Response box",2,87,2,1,60,1789,"5",1
1,25,"f","Response box",2,88,2,0,60,448,"2",1
1,25,"f","Response box",2,89,2,0,60,326,"2",1
1,25,"f","Response box",2,90,2,1,60,244,"5",1
1,25,"f","Response box",2,91,2,0,60,262,"2",1
1,25,"f","Response box",2,92,2,1,60,282,"5",1
1,25,"f","Response box",2,93,2,0,60,256,"2",1
1,25,"f","Response box",2,94,2,1,60,266,"5",1
1,25,"f","Response box",2,95,2,0,60,264,"2",1
1,25,"f","Response box",2,96,2,1,60,232,"5",1
1,25,"f","Response box",2,97,2,0,180,297,"2",1
1,25,"f","Response box",2,98,2,1,180,290,"5",1
1,25,"f","Response box",2,99,2,1,180,248,"5",1
1,25,"f","Response box",2,100,2,0,180,276,"2",1
1,25,"f","Response box",2,101,2,1,180,228,"5",1
1,25,"f","Response box",2,102,2,0,180,310,"2",1
1,25,"f","Response box",2,103,2,1,180,213,"5",1
1,25,"f","Response box",2,104,2,0,180,227,"2",1
1,25,"f","Response box",2,105,2,1,180,219,"5",1
1,25,"f","Response box",2,106,2,0,180,223,"2",1
1,25,"f","Response box",2,107,2,1,180,230,"5",1
1,25,"f","Response box",2,108,2,0,180,258,"2",1
1,25,"f","Response box",2,109,2,0,180,267,"2",1
1,25,"f","Response box",2,110,2,1,180,249,"5",1
1,25,"f","Response box",2,111,2,0,180,246,"2",1
1,25,"f","Response box",2,112,2,1,180,255,"5",1
1,25,"f","Response box",2,113,2,1,180,275,"5",1
1,25,"f","Response box",2,114,2,0,180,221,"2",1
1,25,"f","Response box",2,115,2,1,180,280,"5",1
1,25,"f","Response box",2,116,2,0,180,293,"2",1
1,25,"f","Response box",2,117,2,1,180,218,"5",1
1,25,"f","Response box",2,118,2,0,180,301,"2",1
1,25,"f","Response box",2,119,2,1,180,209,"5",1
1,25,"f","Response box",2,120,2,0,180,260,"2",1
1,25,"f","Response box",2,121,2,1,240,324,"5",1
1,25,"f","Response box",2,122,2,0,240,254,"2",1
1,25,"f","Response box",2,123,2,0,240,296,"2",1
1,25,"f","Response box",2,124,2,1,240,237,"5",1
1,25,"f","Response box",2,125,2,0,240,234,"2",1
1,25,"f","Response box",2,126,2,1,240,220,"5",1
1,25,"f","Response box",2,127,2,0,240,229,"2",1
1,25,"f","Response box",2,128,2,1,240,246,"5",1
1,25,"f","Response box",2,129,2,0,240,233,"2",1
1,25,"f","Response box",2,130,2,1,240,197,"5",1
1,25,"f","Response box",2,131,2,0,240,234,"2",1
1,25,"f","Response box",2,132,2,1,240,221,"5",1
1,25,"f","Response box",2,133,2,1,240,329,"5",1
1,25,"f","Response box",2,134,2,0,240,254,"2",1
1,25,"f","Response box",2,135,2,1,240,238,"5",1
1,25,"f","Response box",2,136,2,0,240,212,"2",1
1,25,"f","Response box",2,137,2,1,240,216,"5",1
1,25,"f","Response box",2,138,2,0,240,228,"2",1
1,25,"f","Response box",2,139,2,1,240,241,"5",1
1,25,"f","Response box",2,140,2,0,240,200,"2",1
1,25,"f","Response box",2,141,2,0,240,51,"5",0
1,25,"f","Response box",2,142,2,1,240,251,"5",1
1,25,"f","Response box",2,143,2,1,240,272,"5",1
1,25,"f","Response box",2,144,2,0,240,261,"2",1
1,25,"1","Web from home",3,1,2,1,300,965,"h",1
1,25,"1","Web from home",3,2,2,0,300,500,"d",1
1,25,"1","Web from home",3,3,2,1,300,402,"h",1
1,25,"1","Web from home",3,4,2,0,300,393,"d",1
1,25,"1","Web from home",3,5,2,0,300,536,"d",1
1,25,"1","Web from home",3,6,2,1,300,356,"h",1
1,25,"1","Web from home",3,7,2,1,300,414,"h",1
1,25,"1","Web from home",3,8,2,0,300,418,"d",1
1,25,"1","Web from home",3,9,2,0,300,487,"d",1
1,25,"1","Web from home",3,10,2,1,300,368,"h",1
1,25,"1","Web from home",3,11,2,1,300,413,"h",1
1,25,"1","Web from home",3,12,2,0,300,355,"d",1
1,25,"1","Web from home",3,13,2,1,300,369,"h",1
1,25,"1","Web from home",3,14,2,0,300,379,"d",1
1,25,"1","Web from home",3,15,2,1,300,373,"h",1
1,25,"1","Web from home",3,16,2,0,300,346,"d",1
1,25,"1","Web from home",3,17,2,0,300,471,"d",1
1,25,"1","Web from home",3,18,2,1,300,313,"h",1
1,25,"1","Web from home",3,19,2,0,300,351,"d",1
1,25,"1","Web from home",3,20,2,1,300,395,"h",1
1,25,"1","Web from home",3,21,2,0,300,387,"d",1
1,25,"1","Web from home",3,22,2,1,300,397,"h",1
1,25,"1","Web from home",3,23,2,0,300,361,"d",1
1,25,"1","Web from home",3,24,2,1,300,353,"h",1
1,25,"1","Web from home",3,25,2,1,120,514,"h",1
1,25,"1","Web from home",3,26,2,0,120,358,"d",1
1,25,"1","Web from home",3,27,2,0,120,353,"d",1
1,25,"1","Web from home",3,28,2,1,120,339,"h",1
1,25,"1","Web from home",3,29,2,0,120,353,"d",1
1,25,"1","Web from home",3,30,2,1,120,291,"h",1
1,25,"1","Web from home",3,31,2,1,120,468,"h",1
1,25,"1","Web from home",3,32,2,0,120,343,"d",1
1,25,"1","Web from home",3,33,2,1,120,374,"h",1
1,25,"1","Web from home",3,34,2,0,120,353,"d",1
1,25,"1","Web from home",3,35,2,0,120,430,"d",1
1,25,"1","Web from home",3,36,2,1,120,361,"h",1
1,25,"1","Web from home",3,37,2,0,120,570,"d",1
1,25,"1","Web from home",3,38,2,1,120,354,"h",1
1,25,"1","Web from home",3,39,2,0,120,322,"d",1
1,25,"1","Web from home",3,40,2,1,120,351,"h",1
1,25,"1","Web from home",3,41,2,0,120,330,"d",1
1,25,"1","Web from home",3,42,2,1,120,337,"h",1
1,25,"1","Web from home",3,43,2,0,120,322,"d",1
1,25,"1","Web from home",3,44,2,1,120,309,"h",1
1,25,"1","Web from home",3,45,2,1,120,338,"h",1
1,25,"1","Web from home",3,46,2,0,120,323,"d",1
1,25,"1","Web from home",3,47,2,1,120,324,"h",1
1,25,"1","Web from home",3,48,2,0,120,353,"d",1
1,25,"1","Web from home",3,49,2,0,240,576,"d",1
1,25,"1","Web from home",3,50,2,1,240,382,"h",1
1,25,"1","Web from home",3,51,2,1,240,322,"h",1
1,25,"1","Web from home",3,52,2,0,240,317,"d",1
1,25,"1","Web from home",3,53,2,1,240,302,"h",1
1,25,"1","Web from home",3,54,2,0,240,312,"d",1
1,25,"1","Web from home",3,55,2,1,240,260,"h",1
1,25,"1","Web from home",3,56,2,0,240,252,"d",1
1,25,"1","Web from home",3,57,2,0,240,303,"h",0
1,25,"1","Web from home",3,58,2,1,240,362,"h",1
1,25,"1","Web from home",3,59,2,0,240,323,"d",1
1,25,"1","Web from home",3,60,2,1,240,303,"h",1
1,25,"1","Web from home",3,61,2,0,240,323,"d",1
1,25,"1","Web from home",3,62,2,1,240,353,"h",1
1,25,"1","Web from home",3,63,2,0,240,298,"d",1
1,25,"1","Web from home",3,64,2,1,240,310,"h",1
1,25,"1","Web from home",3,65,2,1,240,506,"h",1
1,25,"1","Web from home",3,66,2,0,240,354,"d",1
1,25,"1","Web from home",3,67,2,1,240,351,"h",1
1,25,"1","Web from home",3,68,2,0,240,375,"d",1
1,25,"1","Web from home",3,69,2,0,240,445,"d",1
1,25,"1","Web from home",3,70,2,1,240,319,"h",1
1,25,"1","Web from home",3,71,2,0,240,329,"d",1
1,25,"1","Web from home",3,72,2,1,240,319,"h",1
1,25,"1","Web from home",3,73,2,0,60,502,"d",1
1,25,"1","Web from home",3,74,2,1,60,369,"h",1
1,25,"1","Web from home",3,75,2,0,60,271,"d",1
1,25,"1","Web from home",3,76,2,1,60,297,"h",1
1,25,"1","Web from home",3,77,2,0,60,269,"d",1
1,25,"1","Web from home",3,78,2,1,60,265,"h",1
1,25,"1","Web from home",3,79,2,1,60,384,"h",1
1,25,"1","Web from home",3,80,2,0,60,355,"d",1
1,25,"1","Web from home",3,81,2,1,60,282,"h",1
1,25,"1","Web from home",3,82,2,0,60,351,"d",1
1,25,"1","Web from home",3,83,2,0,60,406,"d",1
1,25,"1","Web from home",3,84,2,1,60,312,"h",1
1,25,"1","Web from home",3,85,2,1,60,362,"h",1
1,25,"1","Web from home",3,86,2,0,60,324,"d",1
1,25,"1","Web from home",3,87,2,0,60,369,"d",1
1,25,"1","Web from home",3,88,2,1,60,312,"h",1
1,25,"1","Web from home",3,89,2,0,60,364,"d",1
1,25,"1","Web from home",3,90,2,1,60,254,"h",1
1,25,"1","Web from home",3,91,2,1,60,353,"h",1
1,25,"1","Web from home",3,92,2,0,60,329,"h",0
1,25,"1","Web from home",3,93,2,1,60,403,"h",1
1,25,"1","Web from home",3,94,2,0,60,281,"d",1
1,25,"1","Web from home",3,95,2,0,60,384,"d",1
1,25,"1","Web from home",3,96,2,1,60,345,"h",1
1,25,"1","Web from home",3,97,2,1,360,510,"h",1
1,25,"1","Web from home",3,98,2,0,360,334,"d",1
1,25,"1","Web from home",3,99,2,0,360,318,"d",1
1,25,"1","Web from home",3,100,2,1,360,378,"h",1
1,25,"1","Web from home",3,101,2,1,360,322,"h",1
1,25,"1","Web from home",3,102,2,0,360,314,"d",1
1,25,"1","Web from home",3,103,2,1,360,373,"h",1
1,25,"1","Web from home",3,104,2,0,360,357,"d",1
1,25,"1","Web from home",3,105,2,1,360,370,"d",0
1,25,"1","Web from home",3,106,2,0,360,412,"d",1
1,25,"1","Web from home",3,107,2,0,360,298,"h",0
1,25,"1","Web from home",3,108,2,1,360,378,"h",1
1,25,"1","Web from home",3,109,2,0,360,329,"d",1
1,25,"1","Web from home",3,110,2,1,360,338,"h",1
1,25,"1","Web from home",3,111,2,0,360,358,"d",1
1,25,"1","Web from home",3,112,2,1,360,375,"h",1
1,25,"1","Web from home",3,113,2,0,360,334,"d",1
1,25,"1","Web from home",3,114,2,1,360,400,"h",1
1,25,"1","Web from home",3,115,2,0,360,364,"d",1
1,25,"1","Web from home",3,116,2,1,360,368,"h",1
1,25,"1","Web from home",3,117,2,0,360,486,"d",1
1,25,"1","Web from home",3,118,2,1,360,338,"h",1
1,25,"1","Web from home",3,119,2,0,360,382,"d",1
1,25,"1","Web from home",3,120,2,1,360,342,"h",1
1,25,"1","Web from home",3,121,2,0,180,666,"d",1
1,25,"1","Web from home",3,122,2,1,180,308,"h",1
1,25,"1","Web from home",3,123,2,1,180,373,"h",1
1,25,"1","Web from home",3,124,2,0,180,317,"d",1
1,25,"1","Web from home",3,125,2,0,180,442,"d",1
1,25,"1","Web from home",3,126,2,1,180,288,"h",1
1,25,"1","Web from home",3,127,2,1,180,434,"h",1
1,25,"1","Web from home",3,128,2,0,180,418,"d",1
1,25,"1","Web from home",3,129,2,0,180,390,"d",1
1,25,"1","Web from home",3,130,2,1,180,355,"h",1
1,25,"1","Web from home",3,131,2,0,180,357,"d",1
1,25,"1","Web from home",3,132,2,1,180,294,"h",1
1,25,"1","Web from home",3,133,2,0,180,337,"d",1
1,25,"1","Web from home",3,134,2,1,180,323,"h",1
1,25,"1","Web from home",3,135,2,1,180,399,"h",1
1,25,"1","Web from home",3,136,2,0,180,363,"d",1
1,25,"1","Web from home",3,137,2,1,180,341,"h",1
1,25,"1","Web from home",3,138,2,0,180,328,"d",1
1,25,"1","Web from home",3,139,2,1,180,323,"h",1
1,25,"1","Web from home",3,140,2,0,180,319,"d",1
1,25,"1","Web from home",3,141,2,0,180,328,"h",0
1,25,"1","Web from home",3,142,2,1,180,365,"h",1
1,25,"1","Web from home",3,143,2,0,180,319,"d",1
1,25,"1","Web from home",3,144,2,1,180,348,"h",1
1,25,"f","Keyboard",1,1,2,0,360,1553,"d",1
1,25,"f","Keyboard",1,2,2,1,360,1039,"h",1
1,25,"f","Keyboard",1,3,2,1,360,1109,"d",0
1,25,"f","Keyboard",1,4,2,0,360,794,"d",1
1,25,"f","Keyboard",1,5,2,0,360,543,"d",1
1,25,"f","Keyboard",1,6,2,1,360,444,"h",1
1,25,"f","Keyboard",1,7,2,0,360,409,"d",1
1,25,"f","Keyboard",1,8,2,1,360,378,"h",1
1,25,"f","Keyboard",1,9,2,0,360,352,"d",1
1,25,"f","Keyboard",1,10,2,1,360,300,"h",1
1,25,"f","Keyboard",1,11,2,0,360,282,"d",1
1,25,"f","Keyboard",1,12,2,1,360,255,"h",1
1,25,"f","Keyboard",1,13,2,0,360,252,"d",1
1,25,"f","Keyboard",1,14,2,1,360,253,"h",1
1,25,"f","Keyboard",1,15,2,1,360,225,"d",0
1,25,"f","Keyboard",1,16,2,0,360,376,"d",1
1,25,"f","Keyboard",1,17,2,1,360,303,"h",1
1,25,"f","Keyboard",1,18,2,0,360,301,"d",1
1,25,"f","Keyboard",1,19,2,1,360,290,"h",1
1,25,"f","Keyboard",1,20,2,0,360,275,"d",1
1,25,"f","Keyboard",1,21,2,0,360,267,"h",0
1,25,"f","Keyboard",1,22,2,1,360,531,"h",1
1,25,"f","Keyboard",1,23,2,0,360,316,"d",1
1,25,"f","Keyboard",1,24,2,1,360,324,"h",1
1,25,"f","Keyboard",1,25,2,0,300,1020,"d",1
1,25,"f","Keyboard",1,26,2,1,300,959,"h",1
1,25,"f","Keyboard",1,27,2,0,300,329,"d",1
1,25,"f","Keyboard",1,28,2,1,300,303,"h",1
1,25,"f","Keyboard",1,29,2,0,300,279,"d",1
1,25,"f","Keyboard",1,30,2,1,300,349,"h",1
1,25,"f","Keyboard",1,31,2,0,300,317,"d",1
1,25,"f","Keyboard",1,32,2,1,300,294,"h",1
1,25,"f","Keyboard",1,33,2,1,300,297,"d",0
1,25,"f","Keyboard",1,34,2,0,300,417,"d",1
1,25,"f","Keyboard",1,35,2,0,300,433,"d",1
1,25,"f","Keyboard",1,36,2,1,300,332,"h",1
1,25,"f","Keyboard",1,37,2,1,300,339,"h",1
1,25,"f","Keyboard",1,38,2,0,300,325,"d",1
1,25,"f","Keyboard",1,39,2,0,300,413,"d",1
1,25,"f","Keyboard",1,40,2,1,300,314,"h",1
1,25,"f","Keyboard",1,41,2,1,300,373,"h",1
1,25,"f","Keyboard",1,42,2,0,300,347,"d",1
1,25,"f","Keyboard",1,43,2,0,300,437,"d",1
1,25,"f","Keyboard",1,44,2,1,300,308,"h",1
1,25,"f","Keyboard",1,45,2,1,300,338,"h",1
1,25,"f","Keyboard",1,46,2,0,300,320,"d",1
1,25,"f","Keyboard",1,47,2,1,300,366,"h",1
1,25,"f","Keyboard",1,48,2,0,300,306,"d",1
1,25,"f","Keyboard",1,49,2,0,180,881,"d",1
1,25,"f","Keyboard",1,50,2,1,180,657,"h",1
1,25,"f","Keyboard",1,51,2,0,180,323,"d",1
1,25,"f","Keyboard",1,52,2,1,180,276,"h",1
1,25,"f","Keyboard",1,53,2,1,180,288,"d",0
1,25,"f","Keyboard",1,54,2,0,180,343,"d",1
1,25,"f","Keyboard",1,55,2,1,180,340,"h",1
1,25,"f","Keyboard",1,56,2,0,180,372,"d",1
1,25,"f","Keyboard",1,57,2,0,180,368,"d",1
